sujeto,relacion,objeto
gobiernos de la Revolución,se preocupan por,bien de todo el pueblo
mejoras en la higiene pública,logran,desterrar muchas enfermedades en México
Venustiano Carranza,es contemporáneo de,Constitución de 1917
Constitución de 1917,fuepublicadoen,Querétaro
Revolución Mexicana,se describe con,lucha por terminar con injusticias y alcanzar derechos fundamentales
Victoriano Huerta,es contemporáneo de,gobierno de los Estados Unidos
fuerzas navales norteamericanas,ocupan,puerto de Veracruz
José Azueta,lucha en,defensa del suelo patrio
Virgilio Uribe,lucha en,defensa del suelo patrio
Venustiano Carranza,tiene conflicto con,Francisco Villa
Conferencias de Torreón,se efectúan para resolver,conflicto entre Venustiano Carranza y Francisco Villa
Conferencias de Torreón,fijan bases de,reformas de la Revolución
Victoriano Salado Alvarez,es contemporáneo de,Amado Nervo
Victoriano Salado Alvarez,es contemporáneo de,Luis G. Urbina
Amado Nervo,es contemporáneo de,Luis G. Urbina
José Maria Velasco,es contemporáneo de,Julio Ruelas
José Maria Velasco,es contemporáneo de,José Guadalupe Posada
Julio Ruelas,es contemporáneo de,José Guadalupe Posada
Juventino Rosas,es contemporáneo de,Ricardo Castro
Juventino Rosas,es contemporáneo de,Felipe Villanueva
Juventino Rosas,es contemporáneo de,Rafael J. Tello
Ricardo Castro,es contemporáneo de,Felipe Villanueva
Ricardo Castro,es contemporáneo de,Rafael J. Tello
Felipe Villanueva,es contemporáneo de,Rafael J. Tello
Victoriano Huerta,es contemporáneo de,Primera Guerra Mundial
Porfirio Diaz,impuso,la paz
Porfirio Diaz,mantiene,el orden
Porfirio Diaz,es conocido como,Héroe de la Paz
Porfirio Diaz,es conocido por,La dictadura porfiriana
Porfirio Diaz,es conocido por,El régimen porfiriano
Porfirio Diaz,es conocido por,La paz porfiriana
Porfirio Diaz,impone,La paz por medio de la fuerza
Porfirio Diaz,mantiene,el orden
Porfirio Diaz,es conocido como,Héroe de la Paz
Porfirio Diaz,es conocido por,La dictadura porfiriana
Porfirio Diaz,es conocido por,El régimen porfiriano
Porfirio Diaz,es conocido por,La paz porfiriana
Caricatura,fuepublicadoen,El Hijo del Ahuizote
Madero,menciona a,prácticas democráticas
La sucesión presidencial,menciona a,Madero
Zapata,se rebela contra,Madero
Zapata,se rebela en,Morelos
Pascual Orozco,se rebela contra,Madero
Pascual Orozco,se rebela en,Chihuahua
Francisco Villa,es contemporáneo de,Madero
Victoriano Huerta,lidera,operaciones contra Orozco
Victoriano Huerta,derrota a,orozquistas
Porfirio Diaz,concede privilegios a,compañías extranjeras
Emiliano Zapata,se rebela contra,Francisco I. Madero
Emiliano Zapata,se rebela en,Morelos
Pascual Orozco,se rebela contra,Francisco I. Madero
Pascual Orozco,se rebela en,Chihuahua
Francisco I. Madero,encarga operaciones contra,Pascual Orozco
Victoriano Huerta,derrota a,orozquistas
Porfirio Díaz,concede privilegios a,compañías extranjeras
Porfirio Diaz,viaja a,Francia
Porfirio Diaz,pertenece a,dictadura
Porfirio Diaz,lidera,Presidencia de Porfirio Diaz
Francisco I. Madero,impide,aplicación del rigor de la ley a Félix Diaz
Félix Diaz,es sentenciado a,muerte
Manuel Mondragón,se pronuncia contra,gobierno
Manuel Mondragón,libera a,Félix Diaz
Manuel Mondragón,libera a,Bernardo Reyes
Victoriano Huerta,traiciona a,Francisco I. Madero
Victoriano Huerta,se une a,sublevados
Fransisco I. Madero,obtiene apoyo de,ciudadanos
Porfirio Diaz,ordena encarcelar a,Fransisco I. Madero
Fransisco I. Madero,publica,Plan de San Luis
Porfirio Diaz,es contemporáneo de,Fransisco I. Madero
Fransisco I. Madero,lucha en,Revolución de 1910
Fransisco I. Madero,lidera,movimiento político
Fransisco I. Madero,se describe con,nobleza
Fransisco I. Madero,se describe con,bondad
Fransisco I. Madero,se describe con,apego a las virtudes cívicas
Fransisco I. Madero,funda,libertad de prensa
Porfirio Díaz,se describe con,censura a la prensa
Porfirio Díaz,se describe con,represión violenta de protestas sociales
Porfirio Díaz,se describe con,impedimento de elecciones libres
Porfirio Díaz,se describe con,imposición de gobernadores
Porfirio Díaz,se describe con,control sobre instituciones de justicia
Porfirio Díaz,se describe con,control sobre el poder legislativo
Porfiriato,menciona a,Porfirio Díaz
La Orquesta,fuepublicadoen,caricatura que representa a México como una torre de Babel
Félix Diaz,es aliado de,Bernardo Reyes
Félix Diaz,es contemporáneo de,Porfirio
Félix Diaz,lucha en,puerto de Veracruz
Bernardo Reyes,lucha en,frontera del Norte
Pascual Orozco,lucha en,Chihuahua
Emiliano Zapata,lucha en,Morelos
Francisco I. Madero,es contemporáneo de,Félix Diaz
Francisco I. Madero,es contemporáneo de,Bernardo Reyes
Francisco I. Madero,es contemporáneo de,Pascual Orozco
Francisco I. Madero,es contemporáneo de,Emiliano Zapata
fuerzas maderistas,lucha en,toma de Ciudad Juárez
Plan de San Luis,fuepublicadoen,Potosí
Orozco,lucha en,toma de Ciudad Juárez
Villa,lucha en,toma de Ciudad Juárez
Díaz,renuncia a,presidencia
Díaz,viaja a,Francia
Madero,denuncia,ilegalidad de las elecciones
Madero,desconoce a,Porfirio Díaz
Madero,se declara,presidente provisional
Carranza,expidió,Ley sobre dotación y restitución de tierras
Carranza,expidió en,Veracruz
Villa,expidió,otra ley agraria
Villa,expidió en,Aguascalientes
Carranza,convocó,Congreso Constituyente
Congreso Constituyente,se reunió en,Querétaro
comunidades indígenas,pertenece a,población rural mexicana
campesinos,pertenece a,población rural mexicana
pequeños rancheros,pertenece a,población rural mexicana
levantamientos campesinos,ocurre en,Veracruz
levantamientos campesinos,ocurre en,Hidalgo
levantamientos campesinos,ocurre en,Valle de México
levantamientos campesinos,ocurre en,Chihuahua
levantamientos campesinos,ocurre en,San Luis Potosí
levantamientos campesinos,ocurre en,Nayarit
levantamientos campesinos,ocurre en,Sonora
levantamientos campesinos,ocurre en,Guerrero
levantamientos campesinos,ocurre en,Oaxaca
levantamientos campesinos,ocurre en,Chiapas
levantamientos campesinos,ocurre en,Yucatán
levantamientos campesinos,es reprimido con,violencia
Francisco I. Madero,escribe,La sucesion presidencial
Francisco I. Madero,funda,Partido Antirreeleccionista
Francisco I. Madero,recorre,país
Francisco I. Madero,es aliado de,pueblo
Francisco I. Madero,escribe,La sucesion presidencial
Francisco I. Madero,funda,Partido Antirreeleccionista
Francisco I. Madero,viaja a,el país
Francisco I. Madero,es aliado de,el pueblo
Guerrero,funda,1849
Coahuila,funda,Nuevo León
Batallón de Artillería Fija de Matamoros,lucha en,Guerra de Reforma
Madero,fue asesinado por,Huerta
Pino Suarez,fue asesinado por,Huerta
Francisco I. Madero,nació en,Hacienda del Rosario
Francisco I. Madero,nació el,30 de octubre de 1873
Francisco I. Madero,se educó en,Francia
Francisco I. Madero,se declara enemigo de,Porfirio Diaz
Hacienda henequenera,pertenece a,Yucatán
Constitución Política,fuepublicadoen,1917
Deporte de origen estadunidense,se difundió en,golfo de México
Deporte de origen estadunidense,llegó a,nuestro país durante el Porfiriato
adinerados de México,es contemporáneo de,Porfiriato
Obregón,lidera,tropas
Pablo Gonzalez,lidera,tropas
Eulalio Gutiérrez,es aliado de,Francisco Villa
Eulalio Gutiérrez,entra en,ciudad de México
Eulalio Gutiérrez,es nombrado,Presidente de la República
Obregón,rechaza a,Villa
Obregón,derrota a,Villa
villistas,lucha en,guerra
zapatistas,lucha en,guerra
carrancistas,lucha en,guerra
gobierno,toma a su cargo,dotar de libros y cuadernos de trabajo gratuitos
gobierno,toma a su cargo,todos los alumnos de las escuelas primarias
régimen porfirista,se describe con,clase social minoritaria y dominante gozaba de honores y privilegios
clase media,se describe con,alcanzó algunas oportunidades
gran mayoría del pueblo,se describe con,vivía en condiciones precarias y dolorosas
compañías deslindadoras extranjeras,quitan tierras a,campesinos
hacendados mexicanos,quitan tierras a,campesinos
Judith de la Torre Rendón,fuepublicadoen,La ciudad de
municipio de la Ciudad de México,cree,acabado con el problema del excremento en las calles
Madero,es asesinado por,Huerta
Venustiano Carranza,forma,ejército
Venustiano Carranza,organiza,gobierno
Venustiano Carranza,lucha en,Revolución contra Huerta
Emiliano Zapata,se distingue en,Revolución contra Huerta
Francisco Villa,se distingue en,Revolución contra Huerta
Alvaro Obregón,se distingue en,Revolución contra Huerta
norteamericanos,ocupan,Veracruz
Francisco Villa,toma,Ciudad Juarez
Francisco I. Madero,encabezada por,Revolución Mexicana
Revolución Mexicana,empezó,20 de noviembre de 1910
116,tomó preso a,Madero
116,tomó preso a,Vice-Presidente
116,asesinó,Madero
116,asesinó,Vice-Presidente
116,asesinó,22 de febrero de 1913
Díaz,lidera,gobierno
Díaz,es contemporáneo de,prosperidad porfirista
gobierno de Díaz,rehabilita,puertos
gobierno de Díaz,tiende,"20,000 kilómetros de vías férreas"
Porfiriato,se describe con,transformaciones tecnológicas
general Diaz,lidera,Gobierno
mineros de la Cananea Copper Co.,se lanzaron a,huelga
mineros de la Cananea Copper Co.,manifiestan,descontento por las condiciones laborales
mineros de la Cananea Copper Co.,manifiestan,notoria diferencia entre mexicanos y norteamericanos
Zapata,muere en,Chinameca
Villa,muere en,Parral
Carranza,expide,Ley sobre dotación y restitución de tierras
Villa,firma,ley agraria en Aguascalientes
Carranza,domina,país
Francisco I. Madero,funda,partido político
Francisco I. Madero,viaja a,todo el país
Porfirio Díaz,encarcela a,Francisco I. Madero
Porfirio Díaz,se reelige como,presidente
Francisco I. Madero,publica,Plan de San Luis
Porfirio Díaz,es contemporáneo de,Francisco I. Madero
Francisco I. Madero,fue detenido en,Monterrey
Francisco I. Madero,fue encarcelado en,San Luis Potosí
Porfirio Díaz,reelegido como,presidente
Francisco I. Madero,escapa a,Estados Unidos
Francisco I. Madero,fuepublicadoen,Plan de San Luis Potosí
Francisco I. Madero,denuncia,ilegalidad de las elecciones
Francisco I. Madero,desconoce a,Porfirio Díaz
Francisco I. Madero,se declara,presidente provisional
Porfirio Diaz,buscó y obtuvo el apoyo de,principales políticos del partido de Juárez
Porfirio Diaz,buscó y obtuvo el apoyo de,principales políticos del partido de Lerdo de Tejada
Porfirio Diaz,venció la resistencia de,adversarios militares
Porfirio Diaz,venció la resistencia de,adversarios civiles
Porfirio Diaz,se entendió con,altos dignatarios del clero católico
Eugenia Meyer,fuepublicadoen,"Nifios de ayer, niftos de hoy"
"Nifios de ayer, niftos de hoy",fuepublicadoen,México
"Nifios de ayer, niftos de hoy",fuepublicadoen,Lumen-tnaH-Gonaculta
"Nifios de ayer, niftos de hoy",fuepublicadoen,2007
"Nifios de ayer, niftos de hoy",pertenece a,Colección Huellas de México
Colección Huellas de México,pertenece a,serie Ecos
batallas,se describe con,Santa Maria
batallas,se describe con,Ciudad Juárez
batallas,se describe con,Tierra Blanca
batallas,se describe con,Ojinaga
batallas,se describe con,Torreón
batallas,se describe con,San Pedro de las Colonias
batallas,se describe con,Paredón
batallas,se describe con,Zacatecas
batallas,se describe con,Orendain
Francisco I. Madero,hizo frente a,situación
Francisco I. Madero,puso el mando de las tropas leales en manos de,Victoriano Huerta
Victoriano Huerta,estaba de acuerdo con,los sublevados
Victoriano Huerta,sometió a,los orozquistas
Francisco I. Madero,elevó el presupuesto de,Educación
movimiento villista,representa,anhelos y necesidades de los campesinos en el norte del país
Villa,elabora,Ley General Agraria
Venustiano Carranza,fue,gobernador de Coahuila
Venustiano Carranza,es,principal líder revolucionario
Venustiano Carranza,convoca,congreso constituyente en Querétaro
china,cambia,Imperio por una república
Primera Guerra Mundial,fuepublicadoen,1914-1918
Hundimiento del trasatlántico Titanic,fuepublicadoen,1912
Revolución rusa,fuepublicadoen,1917
Alvaro Obregón,lidera,ejército constitucionalista en el Noroeste
ejército constitucionalista,lucha en,México
ejército constitucionalista,derrota a,fuerzas de Victoriano Huerta
ejército constitucionalista,formado principalmente por,campesinos
ejército constitucionalista,formado principalmente por,obreros
ejército constitucionalista,formado principalmente por,yaquis y mayos
Alvaro Obregón,es contemporáneo de,Francisco Villa
Alvaro Obregón,es contemporáneo de,Emiliano Zapata
Alvaro Obregón,es contemporáneo de,Pablo González
Alvaro Obregón,es contemporáneo de,Eulalio Gutiérrez
Francisco Villa,lucha en,México
Emiliano Zapata,lucha en,México
Pablo González,lucha en,México
Eulalio Gutiérrez,lucha en,México
Villa,lucha en,México
Zapata,lucha en,México
Carranza,es aliado de,Alvaro Obregon
Venustiano Carranza,presidente constitucional,México
tienda de raya,pertenece a,hacienda
tienda de raya,vende,productos básicos
productos,incluye,jabón
productos,incluye,maíz
productos,incluye,frijol
productos,incluye,aguardiente
campesino,recibe,salario
salario,se paga con,artículos
administrador,lleva,registro de las compras
Partido Antirreeloccionista,funda,Organizacion
Porfiriato,se describe con,mejoró la economía del país
campesinos y obreros,se describe con,cómo vivían
Porfirio Díaz,es contemporáneo de,Entrevista Díaz-Creelman
Ateneo de la Juventud,funda,Fundación
Hospital General,inaugura,Ciudad de México
Albert Einstein,propone,Teoría de la relatividad
Madero,publica,La sucesión presidencial
Andrés Molina Enriquez,publica,Los grandes problemas nacionales
México,recuerda a,Madero
Porfirio Diaz,tiene sesgo político hacia,reeleccionismo
Porfirio Diaz,se describe con,dictador
Porfirio Diaz,lidera,dictadura
dictadura de Porfirio Diaz,pertenece a,desarrollo material del país
dictadura de Porfirio Diaz,no menciona a,partidos políticos
dictadura de Porfirio Diaz,no menciona a,sufragio popular
voluntad del dictador,se sobrepone a,voluntad de la nación
voluntad del dictador,se sobrepone a,intereses de la gran mayoría de los gobernados
dictadura de Porfirio Diaz,impone,paz
dictadura de Porfirio Diaz,impone,orden
influencia francesa,se observa en,costumbres urbanas
influencia francesa,se observa en,cafés
influencia francesa,se observa en,restaurantes
influencia francesa,se observa en,moda
influencia francesa,se observa en,diversiones
influencia francesa,se observa en,funciones de ópera
influencia francesa,se observa en,ballet
influencia francesa,se observa en,conciertos
influencia francesa,se observa en,bailes
influencia francesa,se observa en,literatura
influencia francesa,está presente en,Palacio de Bellas Artes
influencia francesa,está presente en,edificio de Correos
influencia francesa,está presente en,teatro Juárez
influencia francesa,está presente en,La Paz
influencia francesa,está presente en,teatro Manuel Doblado
derechos sociales,se describe con,derecho de huelga
derechos sociales,se describe con,derecho de organización de los trabajadores
derechos sociales,se describe con,derecho a la educación
nación,tiene derecho a,regular la propiedad privada
ejércitos revolucionarios,se describe con,tropa entusiasta
familias enteras,pertenece a,ejércitos revolucionarios
Primera Guerra Mundial,se describe con,noviembre
Porfiriato,se identifica con,represión
huelgas de Cananea,ocurre en,Sonora
huelgas de Rio Blanco,ocurre en,Veracruz
rurales,mantienen,paz en el campo
Porfirio Díaz,es entrevistado por,James Creelman
James Creelman,entrevista a,Porfirio Díaz
Porfirio Díaz,menciona a,elecciones libres en México
elecciones libres en México,es mencionado por,Porfirio Díaz
Porfirio Díaz,es contemporáneo de,James Creelman
crecimiento de las ciudades,permite,mejorar condiciones de vida de la clase media
crecimiento de las ciudades,permite,mejorar condiciones de vida de los profesionistas
prosperidad,no llega a,campesinos
prosperidad,no llega a,obreros
prosperidad,no llega a,artesanos
prosperidad,no llega a,jornaleros
prosperidad,no llega a,pequeños comerciantes
prosperidad,no llega a,indígenas
mineros,pertenece a,Porfiriato
Tiempo de México,fuepublicadoen,México
Tiempo de México,fuepublicadoen,1984
Victoriano Huerta,viaja a,extranjero
Venustiano Carranza,es aliado de,Francisco Villa
Venustiano Carranza,es aliado de,Emiliano Zapata
Venustiano Carranza,es aliado de,Álvaro Obregón
Venustiano Carranza,entra en,Ciudad de México
Venustiano Carranza,ocupa,presidencia
Emiliano Zapata,no se identifica con,Venustiano Carranza
Francisco Villa,no se identifica con,Venustiano Carranza
Jefes revolucionarios,se reúnen en,Aguascalientes
Jefes revolucionarios,nombran presidente a,Eulalio Gutiérrez
José Refugio Velasco,representa a,Victoriano Huerta
José Refugio Velasco,firma,rendición incondicional
Victoriano Huerta,lidera,tropas
Venustiano Carranza,entra en,Ciudad de México
Venustiano Carranza,reúne,Junta de generales y gobernadores
Francisco Villa,tiene partidarios,Junta
Junta de generales y gobernadores,se convierte en,Convención de Aguascalientes
Tomas Urbina,es contemporáneo de,Francisco Villa
Tomas Urbina,es contemporáneo de,Emiliano Zapata
Tomas Urbina,es contemporáneo de,Otilio Montaño
Francisco Villa,es contemporáneo de,Emiliano Zapata
Francisco Villa,es contemporáneo de,Otilio Montaño
Emiliano Zapata,es contemporáneo de,Otilio Montaño
Obregón,derrota a,Francisco Villa
Obregón,lucha en,Celaya
Carranza,es aliado de,Obregón
Carranza,triunfa sobre,Francisco Villa
Carranza,triunfa sobre,Emiliano Zapata
Obregón,triunfa sobre,Francisco Villa
Obregón,triunfa sobre,Emiliano Zapata
Carranza,se identifica con,nacionalismo
Carranza,se identifica con,apego a la ley
México,tiene sesgo político hacia,Francia
libros,pertenece a,Francia
Francisco Villa,se suma a,Plan de Guadalupe
Alvaro Obregon,se suma a,Plan de Guadalupe
Venustiano Carranza,se enfrenta a,facciones villista y zapatista
ferrocarril entre México y Veracruz,fue construida con,capital inglés
huelgas de Rio Blanco,señalan,esfuerzos por la liberación de los trabajadores explotados
régimen porfirista,favorece,desarrollo de las letras y las artes
Ignacio M. Altamirano,pertenece a,poetas y escritores notables
Manuel Gutiérrez Nájera,pertenece a,poetas y escritores notables
Justo Sierra,pertenece a,poetas y escritores notables
Joaquín Arcadio Pagaza,pertenece a,poetas y escritores notables
Salvador Díaz Mirón,pertenece a,poetas y escritores notables
José María Vigil,pertenece a,poetas y escritores notables
Rafael Ángel de la Peña,pertenece a,poetas y escritores notables
Alfredo Chavero,pertenece a,poetas y escritores notables
Francisco del Paso,pertenece a,poetas y escritores notables
partidarios de Francisco Villa,exigieron,Convención en Aguascalientes
Convención de Aguascalientes,resolvió separar de sus puestos a,Carranza y Villa
Convención de Aguascalientes,nombrar,Eulalio Gutiérrez como Presidente provisional
Venustiano Carranza,se retiró a,puerto de Veracruz
individuo desconocido,acusa- do de violar,Acta de Espionaje
individuo desconocido,Murié en,prisién
prisién,ubicada en,Estados Unidos
Victoriano Huerta,mandaba,tropas del gobierno
Victoriano Huerta,traiciona,Francisco I. Madero
Victoriano Huerta,aprehende a,Francisco I. Madero
Victoriano Huerta,aprehende a,José María Pino Suárez
Victoriano Huerta,ordena asesinato de,Francisco I. Madero
Victoriano Huerta,ordena asesinato de,José María Pino Suárez
Francisco I. Madero,es contemporáneo de,José María Pino Suárez
Maria Luisa Valdivia Dounce,fuepublicadoen,Cancionero mexicano
Cancionero mexicano,fuepublicadoen,"México, sep, 1988"
Porfirio Diaz,impide,la inmensa mayoría de los mexicanos
Porfirio Diaz,lidera,régimen reeleccionista
poder espiritual de la Iglesia,apoya,régimen
México,tiene,relaciones internacionales amplias
Porfirio Diaz,renuncia a,Presidencia
Madero,lanza,Plan de San Luis Potosí
Tiempo de México,fuepublicadoen,México
Tiempo de México,fuepublicadoen,"Sep, 1984"
huelgas de Cananea,ocurre en,Sonora
huelgas de Rio Blanco,ocurre en,Veracruz
Secretaria de Salubridad y Asistencia,formula,Principios de conducta
Principios de conducta,se inserta en,Libros de Texto Gratuitos
Emiliano Zapata,es contemporáneo de,caudillos
canciones,menciona a,personajes o caudillos revolucionarios
cultura de la revolución,pertenece a,cultura nacional
"Valdivia Dounce, Maria Luisa",fuepublicadoen,"Cancionero mexicano, México, SEP, 1988"
Bernardo Reyes,capturado en,Distrito Federal
Bernardo Reyes,encerrado en,prisión de Santiago Tlatelolco
Manuel Mondragón,se pronuncia contra,gobierno
Manuel Mondragón,libera a,Félix Díaz
Manuel Mondragón,libera a,Bernardo Reyes
Bernardo Reyes,muere en,asalto al Palacio Nacional
Manuel Mondragón,se apodera de,Ciudadela
Félix Díaz,se apodera de,Ciudadela
Porfirio Diaz,renuncia,Presidencia de México
Francisco Leén de la Barra,designado,Presidente interino
Francisco I. Madero,electo,Presidente de México
José Maria Pino Suárez,electo,Vicepresidente de México
Porfirio Diaz,viaja a,Francia
Porfirio Diaz,se instala en,París
Porfirio Diaz,muere en,París
Porfirio Diaz,termina,gobierno dictatorial
don Porfirio,abandona,el país
el jefe de la Revolución,es elegido para,la Presidencia de la República
el pueblo,elige,los diputados
el pueblo,elige,los senadores
el pueblo,elige,los gobernadores de los Estados
el gobierno democrático de Madero,dura,dos años escasos
don Porfirio,abandona,el pais
el jefe de la Revolución,es elegido para,la Presidencia de la República
el gobierno democrático de Madero,dura,dos años escasos
Emiliano Zapata,se alza en armas,demandas sociales
militares,se rebelan contra,gobierno
embajador de Estados Unidos,apoya,militares
Decena Trágica,ocurre en,Ciudad de México
Porfiriato,dura,más de 30 años
Revolución Mexicana,conduce hacia,redacción de una nueva Constitución
Francisco I. Madero,es contemporáneo de,Porfiriato
el gobernante,puede dejar,la presidencia de México
el gobernante,recibió,gobierno
gobierno,de manos de,un ejército victorioso
Obregón,rechaza a,Villa
Obregón,derrota a,Villa
Obregón,lucha en,Celaya
Obregón,lucha en,Trinidad
Villa,es contemporáneo de,Zapata
Zapata,es contemporáneo de,Villa
Carranza,es aliado de,carrancistas
Zapata,muere en,Chinameca
Villa,muere en,Parral
Carranza,expide,Veracruz
Juarez,es contemporáneo de,Sebastian Lerdo de Tejada
Sebastian Lerdo de Tejada,es contemporáneo de,Juarez
Sebastian Lerdo de Tejada,inaugura,primera línea de ferrocarril
Henry Lane Wilson,arregla,entrevista entre Huerta y los militares alzados
Henry Lane Wilson,teme,movimiento revolucionario
Henry Lane Wilson,prefiere,nuevo dictador
Henry Lane Wilson,cree,Huerta podría ser dictador
soldados de Huerta,entran a,Palacio Nacional
soldados de Huerta,apresan a,Madero
soldados de Huerta,apresan a,Pino Suarez
Villa,firma,ley agraria
Carranza,robustece,su gobierno
Congreso Constituyente,se reúne en,Querétaro
Revolución Constitucionalista,se describe con,aspiraciones legales
Porfirio Díaz,lucha por,no reelección
Porfirio Díaz,se identifica con,reeleccionista
Porfirio Díaz,desempeña,Presidencia
Porfirio Díaz,mantiene en el poder,1884 hasta 1911
Porfirio Díaz,gracias a,seis reelecciones
clero católico,mantiene,poder espiritual
Díaz,se reeligié,cinco veces consecutivas
Díaz,convirtié,dictadura
Díaz,censuré,prensa
Díaz,reprimié,protestas sociales
Díaz,impidié,elecciones libres
Díaz,impuso,gobernadores de los estados
instituciones de justicia,obedecian,órdenes de Díaz
Poder Legislativo,obedecian,órdenes de Díaz
Porfiriato,se describe con,etapa de la historia de México
El Hijo del Ahuizote,fuepublicadoen,Caricatura titulada 'Una ofrenda a Porfiriopoxtli'
Pershing,encabeza,persecución contra Villa
John Alcock,comanda,primer vuelo transatlántico sin escalas
Victoriano Huerta,desconoce,Cadete Virgilio Uribe
Cadete Virgilio Uribe,es contemporáneo de,Victoriano Huerta
Cadete Virgilio Uribe,es contemporáneo de,Porfiriato
Pais de Europa,influyé culturalmente sobre,grupos adinerados de México
grupos adinerados de México,se describe con,arquitectura
grupos adinerados de México,se describe con,uso de perfumes
grupos adinerados de México,se describe con,moda para vestir
Porfirio Diaz,gana,presidencia
Fransisco I. Madero,protesta mediante,Plan de San Luis
Plan de San Luis,convoca a,levantarse en armas contra el gobierno
Fransisco I. Madero,encuentra respuesta en,Chihuahua
Fransisco I. Madero,encuentra respuesta en,Puebla
Fransisco I. Madero,encuentra respuesta en,Morelos
Francisco Villa,responde a,Plan de San Luis
Pascual Orozco,responde a,Plan de San Luis
Aquiles Serdan,responde a,Plan de San Luis
Maximo Serdan,responde a,Plan de San Luis
Carmen Serdan,responde a,Plan de San Luis
Emiliano Zapata,responde a,Plan de San Luis
Francisco I. Madero,es aliado de,José Maria Pino Suarez
Francisco I. Madero,asume,presidencia
Porfirio Diaz,viaja a,fuera de México
Francisco I. Madero,es contemporáneo de,José Maria Pino Suarez
Francisco I. Madero,asumió,presidencia en noviembre de 1911
José Maria Pino Suarez,es contemporáneo de,Francisco I. Madero
Porfirio Diaz,dejó,México
Francisco I. Madero,fuepublicadoen,Constitución de 1917
El Demócrata,fuepublicadoen,1885
Regeneración,fuepublicadoen,1900
Excélsior,fuepublicadoen,1917
Porfirio Díaz,concede,James Creelman
Porfirio Díaz,menciona a,México
Francisco I. Madero,publica,La sucesión presidencial en 1910
Francisco I. Madero,funda,Partido Nacional Antirreeleccionista
Porfirio Díaz,fuepublicadoen,1903
Porfirio Díaz,fuepublicadoen,1888
Porfirio Díaz,fuepublicadoen,1892
Porfirio Díaz,fuepublicadoen,1896
Porfirio Díaz,fuepublicadoen,1900
Porfirio Díaz,fuepublicadoen,1904
Porfirio Díaz,fuepublicadoen,1910
Porfirio Díaz,se describe con,dictador
Porfirio Díaz,tiene sesgo político hacia,voluntad personal
trabajadores,viven en,Yucatán
trabajadores,viven en,casi esclavitud
Peones,viven en,Oaxaca
Peones,reciben,buen trato
Peones,reciben,condiciones de trabajo dignas
Peones,defienden,propiedades
Mondragón,se apodera de,la Ciudadela
Félix Diaz,se apodera de,la Ciudadela
Victoriano Huerta,manda,las tropas del gobierno
Victoriano Huerta,traiciona y aprehende a,Madero
Victoriano Huerta,se apodera de,José Maria Pino Suarez
Victoriano Huerta,se concierta con,los alzados
Cien corridos. Alma de la canción mexicana,fuepublicadoen,México
Cien corridos. Alma de la canción mexicana,fuepublicadoen,SEP
Cien corridos. Alma de la canción mexicana,fuepublicadoen,2003
Cien corridos. Alma de la canción mexicana,fuepublicadoen,Libros del Rincón
Revolución,influye en,música
Revolución,influye en,pintura
Revolución,influye en,escultura
Revolución,influye en,literatura
Revolución,influye en,cine
Primer Jefe,lucha en,batallas de Torreon
Primer Jefe,lucha en,batallas de Zacatecas
La Convencion de Revolucion,se celebra en,Aguascalientes
Huerta,viaja a,el extranjero
Carranza,entra en,Ciudad de México
Francisco Villa,ataca,Columbus
tropas norteamericanas,persiguen a,Villa
Carranza,entra en,ciudad de México
Carranza,cumple a medias,Conferencias de Torreón
fuerzas y la armada,sirven a,Huerta
Tiempo de México,fuepublicadoen,México
Tiempo de México,fuepublicadoen,"sep, 1984"
Cárcel de Cananea,se describe con,"Sonora, 1906"
Justo Sierra,es contemporáneo de,Porfirio Díaz
Porfirio Díaz,gobierna,México
Porfirio Díaz,se describe con,dictador
Justo Sierra,funda,escuelas
ricos hacendados,son dueños de,mejores tierras
ricos hacendados,pagan,salarios míseros
Justo Sierra,es contemporáneo de,Porfirio Díaz
Porfirio Díaz,gobierna,México
Porfirio Díaz,gobierna como,dictador
empresarios extranjeros,explotan a,obreros mexicanos
ricos hacendados,son dueños de,mejores tierras
Francisco Villa,entra en,ciudad de México
Francisco Villa,acompaña a,Gutiérrez
José Isabel Robles,es miembro de,gabinete de Gutiérrez
José Vasconcelos,es miembro de,gabinete de Gutiérrez
Felicitos Villarreal,es miembro de,gabinete de Gutiérrez
Paulino Martinez,es miembro de,gabinete de Gutiérrez
Valentin Gama,es miembro de,gabinete de Gutiérrez
Lucio Blanco,acepta a,Francisco Villa
Francisco Villa,se reúne con,Emiliano Zapata
Francisco Villa,desfila con,tropas de Emiliano Zapata
Emiliano Zapata,desfila con,tropas de Francisco Villa
niños,lucha en,lucha revolucionaria
Plan de Ayala,menciona a,portal Primaria Tic
Ley Agraria,menciona a,portal Primaria Tic
Venustiano Carranza,fuepublicadoen,Constitucionalista
Venustiano Carranza,desconoce a,Victoriano Huerta
Venustiano Carranza,lidera,Constitucionalista
Álvaro Obregón,derrota a,Francisco Villa
Álvaro Obregón,lucha en,movimiento constitucionalista
Francisco Villa,lucha en,movimiento constitucionalista
Emiliano Zapata,lucha en,movimiento constitucionalista
Victoriano Huerta,espera ayuda de,Estados Unidos
Woodrow Wilson,es contemporáneo de,Victoriano Huerta
Justo Sierra,inaugura,Universidad Nacional
grupo de historiadores,publica,México a través de los siglos
grupo de historiadores,escribe,México y su evolución social
muchachos brillantes y estudiosos,forman,Ateneo de la Juventud
